,date,author,twitter_name,text,number_of_likes,number_of_retweets
22,2023-02-28 05:03:03+00:00,Jefferson Betancourth,Jeffersonobless,"SI USTED SE GASTÓ UN PLATAL EN LA UNIVERSIDAD DE LOS ANDES, ROSARIO, EXTERNADO, JAVERIANA… Y SU HIJO VOTÓ POR EL GUERRILLERO, ESA PLATICA SE PERDIÓ.",42,7
23,2023-02-28 05:00:01+00:00,aldomanucio,aldomanucio,"Contar el mar.
Comunicación de saberes científicos sobre comunidades insulares y costeras desde las #artesescénicas.

En Cuadernos de Música, Artes Visuales y Artes Escénicas, @castilletes, @ndresosorio y Ana Isabel Márquez.
https://t.co/5pUmF9hJxm https://t.co/9SQnwzoxx1",9,0
24,2023-02-28 04:15:43+00:00,Asdrúbal Cárdenas Flórez,doctorcardenas2,"@MissAkathisia La Javeriana aparece en el puesto 1081 en el ranking mundial y la Nacional en el 1205, no somos nada...",0,0
25,2023-02-28 04:01:29+00:00,Sergio Bermúdez Gómez,SergioBermuG,"Video para la clase de Gestión Financiera de la Universidad Javeriana de Cali. #DANE #DepartamentosAdministrativos 
@javerianacali @fjpantoja @DANE_Colombia @DAFP_COLOMBIA https://t.co/SNzJXGNUk3",10,0
26,2023-02-28 03:54:05+00:00,josé,JosDavi93247237,fiel oyente de javeriana stereo y la X,1,0
27,2023-02-28 03:49:52+00:00,Maria 🦋,istoesselmylife,"Mi sueño es hacer la maestría en La Javeriana 💗

Planificación Urbana y Regional, yo sé que Diosito me pondrá el camino para cumplirlo 🥺 yo sé que puedo lograrlo",1,0
28,2023-02-28 03:31:52+00:00,jesus bustamante mes,jbte59,"Andrés Maroco, puede ser de la Javeriana, pero no tiene respeto por quién está ha la do, se mete y no deja hablar , que haga un Programa para el solo
#ESPNF90",0,0
29,2023-02-28 03:21:26+00:00,Nay Acuña (II),PrimaSuspendia,En la Javeriana andan buscando rector pero no creo que lo contraten porque abortero y marihuanero más que la Boreal.,8,0
30,2023-02-28 03:01:16+00:00,Armando Amorelli,Armando46260894,"@WilmanEduardoG @InesBetancur1 @petrogustavo Se nota que le encanta la lectura, es un hombre culto y sabe expresarse.
Yo conocí a Carlos Pizarro, era mi vecino, compartimos una niñez muy linda, cuando se fue a estudiar a la Javeriana, yo me quedé en Cali, en Univalle, lo volví a ver cuando hacía parte del M-19, no lo seguí.",0,0
31,2023-02-28 02:24:36+00:00,Brumeran,junior880622,@bogota_cruising Yo voy a la javeriana desde bravo paez,0,0
32,2023-02-28 01:56:29+00:00,chao.amparo,ChaoAmparo,"Que tanta responsabilidad tienen Los Andes,La Javeriana,El Rosario en la llegada del gobierno del cambio? https://t.co/8552N1sZYs",0,0
33,2023-02-28 01:34:33+00:00,Luis Fernando G.,NandoGuerraRx,"Me place anunciarles que desde la próxima semana seré el nuevo ministro de deporte: 

El Campín sólo será usado para conciertos y los equipos bogotanos van a jugar de ahora en adelante en la sintética de la Javeriana.",26,0
34,2023-02-27 23:37:01+00:00,CEAE Javeriana,ceae_puj,"Los invitamos a ver la charla de TEDx en donde CEAE fue partícipe, encontraran especialistas en mercados, finanzas y demás. ¡No se lo pierdan, vayan a verlo! 
Link: https://t.co/2Rw2KMF5AG
#Universidad #Conferencia #Ted #Javeriana #Bogota https://t.co/EU7LpIjIVp",0,0
35,2023-02-27 23:26:23+00:00,May :),msmo290,La Javeriana es linda :)),9,0
36,2023-02-27 21:50:36+00:00,CésarLR,cesarecolo76,"Las mías:
Javeriana
La X
Fantástica

Y una vitual gringa que se llama That's 70's. https://t.co/Co8687mYvz",0,0
37,2023-02-27 21:47:40+00:00,CésarLR,cesarecolo76,@CaiusIulianus Javeriana pasa muy buen jazz.,3,0
38,2023-02-27 21:40:54+00:00,Javeriana Cali,javerianacali,"#Entérate | Julia Díaz, Profesional del Centro de Expresión Cultural 🎨, representó a la #JaverianaCali en la XXXI Feria del Libro 📖  de La Habana, Cuba 🇨🇺, con su recorrido artístico y cultural desde la seccional. 

Conoce mas aquí https://t.co/aaWCMOHCj7 https://t.co/J58vrhYYWx",0,0
39,2023-02-27 21:30:22+00:00,mariabareta,amarpolaa,Lol estoy parchando en la javeriana q clase de personas soy ahora,0,0
40,2023-02-27 21:27:43+00:00,-aire-lia,rojafurica,si estudias en la javeriana o los andes y no haces mini vlogs 0 interesantes de tu día en tiktok qn putas eres?????,0,0
41,2023-02-27 20:46:54+00:00,Portafolio,Portafolioco,"#ColumnistasPortafolio Lea la opinión de Beethoven Herrera Valencia, profesor Emérito Universidad Nacional y de las universidades Javeriana y Magdalena, en su columna 'Volver a Venezuela (II)'.

Aquí puede encontrarla 👉 https://t.co/BOc0MHHKRf https://t.co/c8CpGSWQJf",2,1
42,2023-02-27 20:38:38+00:00,ÓMICAS,Omicas_,Investigadores de la Universidad @IBERO_mx visitaron el Instituto @Omicas_ de @javerianacali para conocer los procesos de transferencia de tecnologías que se han logrado en coordinación con el Centro Javeriano de Innovación y Emprendimiento. Conoce más en: https://t.co/ukZANLivkp https://t.co/oDL7RhFzwN,3,1
43,2023-02-27 19:54:05+00:00,Mi familia me dice Maruja,majitopriv0510,"Dios mío estoy mamada de los baños de mujeres de la javeriana, a estas mujeres no les enseñaron lo que es la decencia, lit dónde cagan dejan en bollo",0,0
44,2023-02-27 19:49:19+00:00,Sam de la Card,sandritagav,"@javerianacali Hola Javeriana Cali, por favor. Me informan cuando es el próximo Open House de pregrados?, Gracias",1,0
45,2023-02-27 19:06:04+00:00,"JC.Garcia-Ojeda, PhD",jcgarciao,@marthaperaltae @petrogustavo Van a reducir la matrícula de la Javeriana y la Uniandes?,0,0
46,2023-02-27 19:03:05+00:00,Juli en sobeland,Juls777_,Perdida en la javeriana 🧍🏽‍♀️,3,0
47,2023-02-27 18:45:14+00:00,Miguel Mahecha,Mr_MiguelSays,@incautada 6 semestres de Filosofía en la Javeriana son cómo 6 semestres de Finanzas en la San Marino jjajaja,1,0
48,2023-02-27 18:27:22+00:00,NatiNat 🫧,urfaveredhair,Definitivamente estudiar en la javeriana es como vivir en una selva tropical JAJAJA,1,0
49,2023-02-27 18:09:50+00:00,Lu✨🪐,luisasantanac,"agradezco que los dramas de los egresados de la ud no se escalan como los del rosario, los andes o la javeriana, cuando tuitean algo desubicado.  
nos ahorran la etiquetada de la u preguntando que sí eso fue lo que sacaron a la sociedad, si supieran que ni les interesa jaja",0,0
50,2023-02-27 18:07:04+00:00,Educación Continua Javeriana Bogotá,EduContinuaPUJ,‘Preocupa la situación económica y cambio demográfico': rector de la Javeriana https://t.co/4QqHaumaGR a través de @eltiempo,0,0
51,2023-02-27 16:55:00+00:00,Pontificia Universidad Javeriana,UniJaveriana,"Desde la Javeriana y el @ofiscalpuj, invitamos a la socialización de la nueva Guía ciudadana al #SistemaDeSalud. Expertos analizarán los retos de 🇨🇴 en este tema.
🗓️2 de marzo, 8:00 a.m. 
📍Auditorio Alfonso Quintana, S.J.
✍️Inscripciones: https://t.co/U1EkthhJiO https://t.co/6ffzI5U9zl",8,6
52,2023-02-27 16:52:30+00:00,Jaime Enrique,rescoldototal,"CON RAZÓN ESTAMOS COMO ESTAMOS POBRE CURA HIJUEPUTA!!!
ENTONCES EN LA JAVERIANA SE PROSTITUYEN?????",0,0
53,2023-02-27 16:50:33+00:00,Observatorio de la U. Colombiana,Universidadcol,"Clic para conocer más del nuevo rector de la @UniJaveriana (Luis Fernando Múnera)
https://t.co/SIh9khhGCJ 
 y clic para conocer sobre su pensamiento al frente de su nuevo cargo 
https://t.co/B7HFTbj2i3 https://t.co/wECwpveMrW",0,0
54,2023-02-27 16:41:10+00:00,Centro Ático PUJ,centroatico,"Alejandra hizo parte de la primera versión del 'Laboratorio de Guion: La Deconstrucción del personaje' y hoy nos cuenta cómo fue su experiencia. 

Conoce detalles de esta convocatoria que se realiza en alianza con el @_FICCI_ https://t.co/2NJTDfto8e 👏 https://t.co/pMbAV6djDl",0,0
55,2023-02-27 16:35:38+00:00,Alfonso González,Forbes17,@cesarecolo76 Javeriana Estéreo y La X.,1,0
56,2023-02-27 15:57:35+00:00,WRFC....,William30051960,"@UniJaveriana @ELTIEMPO @RectorJaveriana @RectorJaveCali @JesuitasCol @ausjal @JHCifuentesM @ldprieto @L_Sanchez_Mejia @catalinaderozo @mafarahq @hrosj_palabra @SusanaBoreal @GustavoBolivar @intiasprilla @MirandaBogota @IreneVelezT @petrogustavo @FranciaMarquezM @carolinacorcho @alfonsoprada Cordialmente invitados a una fumaton en la universidad Javeriana el reverendo padre Munera dio la licencia para todos los ""marihuaneros"" del país",0,0
57,2023-02-27 15:48:02+00:00,luisf felipe alba,luisf_dedios,"@VickyDavilaH NO ES ASÍ, LA MANIPULACIÓN ES CON LA SILLA VACÍA, CARACOL, RCN, CORTE IDH, CIDH, UNIVERSIDAD JAVERIANA, UNIVERSIDAD NACIONAL, TEMBLORES, PAZ Y RECONCILIACIÓN, ETC. TODAS FINACIADAS POR OPEN SOCIETY, FORD, MICROSOFT, FACEBOOK.",0,0
58,2023-02-27 15:42:42+00:00,PREVERDEC Bogotá-Cali,preverdec,"Este live cuenta con la participación del Doctor Ignacio Zarante (@izarante)👨🏻‍⚕️🧬, presidente de la ACMGen, profesor titular de la Pontificia Universidad Javeriana - Instituto de Genética Humana (@medicina_puj) 💛

📆 27 de febrero
⏰ Desde las 4:00 pm
🖥️ Evento virtual",0,0
59,2023-02-27 15:36:19+00:00,Jim Beam #xenoshenlong🐉,Hanauta_Br00k,"@cesarecolo76 Javeriana Stereo, Emisora Universidad Jorge Tadeo Lozano.",1,0
60,2023-02-27 15:33:11+00:00,Jhonny,jhoval99,"@Pau_andre_97 Habla la que primero dice que la mejor universidad de Colombia es la Javeriana y después dice que es una publica, tiene más coherencia una chancla.",1,0
61,2023-02-27 15:31:58+00:00,GiganteBanda,GiganteBanda,El 3 en la facultad de artes de la Javeriana -Aula Múltiple https://t.co/2E0sriefuH,0,0
62,2023-02-27 15:22:13+00:00,Instituto Pensar,InstitutoPensa5,"El Instituto Pensar de la Pontificia Universidad Javeriana abre la convocatoria del programa Jóvenes Investigadores para el primer semestre 2023
Link de inscripción: https://t.co/QAXnvlOUQx
Mayor información e-mail pj-investigadores@javeriana.edu.co https://t.co/4DUVZpalWw",6,7
63,2023-02-27 15:21:30+00:00,Pesquisa Javeriana,PesquisaPUJ,"Estudiante javeriano de doctorado creó un sistema con #drones que permite identificar la palma amazónica y la madurez de sus frutos para reducir los tiempos de colecta. 
👉https://t.co/mmZEgRCGxr https://t.co/8eej2ciVgp",0,0
64,2023-02-27 15:15:26+00:00,ACMGen Colombia,acmgencol,"(@izarante)👨🏻‍⚕️🧬, presidente de la ACMGen, profesor titular de la Pontificia Universidad Javeriana - Instituto de Genética Humana (@medicina_puj) 💛

📆  27 de febrero 
⏰  Desde las 4:00 pm
🖥️   Evento virtual

¡No te lo puedes perder por que #juntossomosmas! 💙",1,0
65,2023-02-27 15:14:09+00:00,The one who knocks,Monicaanrg,"@Stagoras No conozco ninguna, pero leí una tesis de la universidad Javeriana que creo que te gustaría jajaja",1,0
66,2023-02-27 14:48:18+00:00,Daniel Felipe Gómez.,DanielfGomez57,Estoy leyendo una novela de un man de la Javeriana. No sé como sentirme al respecto.,0,0
67,2023-02-27 14:44:49+00:00,Alexánder Velásquez,alexanvelasquez,"Me pasé de la W Radio a Javeriana Estéreo, y vieran cómo mis días se volvieron azules. Busquen lo que les de paz mental.",0,0
68,2023-02-27 13:54:36+00:00,PAMA H ♛,Pau_andre_97,"@jhoval99 ¡Oigan a este! si ambas universidades tienen el mismo nivel de exigencia académica y en la Javeriana no le regalan décimas a nadie si es a lo que se refiere, está bastante mal de resultados amigo.",0,0
69,2023-02-27 13:47:58+00:00,Sergio,SCR_xlk,"Esto se vio en el parqueadero de la Javeriana hoy:
Papito le prestó carrito al pelado con la condición de que al menos lo tanqueara y el muy tacaño le echo 10lk, 10 miserables lks de corriente.
El carro es un 1.4 turbo modelo 2022 
Así se debió ver https://t.co/yZrLx33Bfs",0,0
70,2023-02-27 13:42:36+00:00,Pontificia Universidad Javeriana,UniJaveriana,"📰 En entrevista con @ELTIEMPO, el designado rector de la Universidad Javeriana, padre Luis Fernando Múnera, S.J., habló de los retos de la Institución y el sector, de los planes del Gobierno en cuanto a las universidades, el Icetex, las nuevas tecnologías, entre otros temas: ⤵️ https://t.co/iw50pROWX4",74,28
71,2023-02-27 13:19:29+00:00,una G,zzzoldyck6,"hp no me roban en calle 22 a las 10 de la noche pero si en la hpta javeriana, que gonorrea",3,0
72,2023-02-27 12:49:15+00:00,Vicky Sierra,vickysierra,@MovilidadCali @Noti90Minutos es increíble la congestión vial. Una hora (60) minutos de la universidad Javeriana al corral de las cañas gordas.,0,0
73,2023-02-27 12:44:57+00:00,PAMA H ♛,Pau_andre_97,"@jhoval99 La mejor claro, pero después de la Javeriana 🥱🥱",0,0
74,2023-02-27 10:54:25+00:00,A de Angel,____ATK____,"@robih_10 @Eduardogp91 @MiguelPoloP Para terminar: a la Javeriana, por ejemplo, la consideran la U para gente bruta pero que tiene plata, es chistoso porque en este mismo instante es la mejor U de bogota, entonces o los rankings se equivocan o no son capaces de aceptar que la UN es un circo.",0,0
75,2023-02-27 06:14:04+00:00,SameFescobar,SameFescobar,"Petro necesita solo UNA facultad: de economía, en Los Andes, U. Javeriana  y le dicten un curso acelerado; COMO GOBERNAR UN PAÍS SIN DESTRUIRLO....!!! https://t.co/ejJcaJV6n2",0,0
76,2023-02-27 06:03:50+00:00,Las2orillas,Las2Orillas,Estas tres universidades son las mejores calificadas para facilitarle a sus estudiantes entrar al mercado laboral. Aquí el Top 10 https://t.co/3KLBTdVrrx,5,0
77,2023-02-27 04:54:58+00:00,Alejajaja 🧝🏼‍♀️,Abs1105,Ni los de la Icesi son tan agrandados como los de la Javeriana jajajsjsjsjjs,1,0
78,2023-02-27 03:49:02+00:00,May,itsmayrarobles,"El otro día nos estábamos acordando con Nico de ese día cuando terminamos en una fiesta de primiparos de administración de la javeriana y solo fuimos a escuchar chisme jsjsjsjssjsjsjsjs ahí tienes a Nico diciendo cosas como “no no, ese man no vale la pena” jsjsjsjsjsjs",0,0
79,2023-02-27 03:40:04+00:00,Angelica Gorron,angelicagorron,"@UniJaveriana @javerianacali  Artista visual Alejandra Lenis Gorrón egresada de U.Javeriana, hace parte del equipo de trabajo VFX del video TQG de Karol G-Shakira, Postproductora Only Postproduction de Barcelona
Ig @onlypostproduction @ale_gorron 
#egresadojaveriano #soyjaveriano https://t.co/NkRmEUdNcj",0,0
80,2023-02-27 01:22:16+00:00,moleculis,moleculis,me comencé a ver esa serie llamada MANES pero pa ver a 5 gomelos morboseando viejas de instagram mejor me paso un rato por la Javeriana,82,5
81,2023-02-26 23:03:48+00:00,Jose,Jose_alejor,Esta chimba la Javeriana,0,0
82,2023-02-26 23:03:38+00:00,jose luis florez,florezjoseluis,"@mariapaolalugo2 @DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana Realista , la plata que se han robado en la salud después de la ley 100 , ejemplos SaludCoop y muchas más , cómo pequeños ejemplos.",0,0
83,2023-02-26 20:57:27+00:00,Juan Paz,jmanuelgr60,"@RevistaSemana NO OLVIDAR QUE GRACIAS A INTERVERCIÓN DE GOB DE @petrogustavo la U Javeriana y Andes NO subieron en 20%  el valor de los Semestres .
#EstudiantesConPetro",0,0
84,2023-02-26 20:26:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"#Video Pablo Ramos, profesor de @earJaveriana, analiza las causas y consecuencias del desbordado uso de los recursos naturales. También plantea algunas alternativas para enfrentar algunos de los problemas ambientales que se presentan en Colombia. ➡️https://t.co/1liiqkcoDB https://t.co/rTIXwV0sf8",10,2
85,2023-02-26 20:17:59+00:00,Pedro Quintero,Hincha_Bukaro,@maoherrera7 Cual es la carrera más dura de pasar en la Javeriana ?,0,0
86,2023-02-26 18:51:03+00:00,NPY Oficial,npyoficial,"📌 Colombia y Bolivia pedirán eliminar la hoja de coca de la lista de sustancias prohibidas de la ONU

👉 Desde Colombia, 
Carlos  Restrepo, docente de la Universidad Javeriana de Bogotá.

#NPY #NosConectaSiempre https://t.co/1nhiFgiZ13",3,4
87,2023-02-26 18:30:23+00:00,JESUS IVAN CARDENAS,JESUSIVANCARDE,"El Padre Luis Fernando Múnera S.J. Rector de la Universidad Javeriana, al escucharlo me acerca más al Papá Francisco. Es muy claro y no necesita interpretaciones.
https://t.co/qWkpNb3QWY",1,0
88,2023-02-26 18:27:04+00:00,JESUS IVAN CARDENAS,JESUSIVANCARDE,@mariapaolalugo2 @DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana Nena. El rector de la U. Javeriana Padre Múnera S.J. no dijo que el Presidente Doctor Gustavo Petro “no tiene arte de estado”: MENTIROSA.,0,0
89,2023-02-26 18:22:51+00:00,Facialix,facialix,"Conviértete en un vendedor efectivo: curso en línea de la Universidad Pontificia Javeriana
 https://t.co/MtzPktxc18",1,0
90,2023-02-26 15:36:53+00:00,Jorge el Curioso,Jorgeel28579734,"@biancapin123 @mariapaolalugo2 @DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana Totalmente de acuerdo, ese ""ser realista"" suena como: aquí todos roban, dejemos así y miremos que podemos robar, que hps mediocres.",2,0
91,2023-02-26 15:27:52+00:00,Revista Semana,RevistaSemana,"“Los jóvenes tienen mucho temor al presente y al futuro”, dice el padre Luis Fernando Múnera, nuevo rector de la Javeriana https://t.co/uyVx3p0mm5",34,9
92,2023-02-26 15:18:37+00:00,Tulio Montes,TulioMontes5,@Maritza79659353 @FranciaMarquezM El Cura De Roux le dio a la asesina holandesa una Maestría de la Javeriana; así que eso es gratuito.,22,11
93,2023-02-26 15:10:33+00:00,@bianca1234,biancapin123,"@mariapaolalugo2 @DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana Ser realista es admitir que aqui todo debe seguir igual porque funciona divinamente?por que entonces votaron mas de 11M? por que hay apoyos desde academias y sectores fuertes e importantes de salud? No es lo q diga sr rector, es la sociedad q vive el dia a dia la q exige cambios",2,0
94,2023-02-26 14:55:44+00:00,Tulio Montes,TulioMontes5,"Eso es fácil:  a la asesina holandesa le dieron una maestría en la Javeriana de manos de Francisco De Roux, el reclutador de Magistrados Auxiliares que hizo posible la toma del Palacio de Justicia en 1985. https://t.co/aE8K7KWdk0",17,15
95,2023-02-26 14:42:19+00:00,mariapaolalugogomez,mariapaolalugo2,"@DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana Quitarle el negocio a uno para pasarselos a otros, en sí que en los próximos 20 años sean otros los que coman de ese negocio pero que siguira con las mismas falencias y aún peores de las que ya conocemos.",1,0
96,2023-02-26 14:40:05+00:00,mariapaolalugogomez,mariapaolalugo2,"@DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana igual q Duque en la gobernanza y reformas como la de la salud, q no es urgente como si son otras pero q requiere ser reformada de una forma consensuada, paulatina y bien pensada y sobretodo q cuente con los recursos para poder ser efectiva y real, no lo q en últimas se pretende",0,0
97,2023-02-26 14:36:56+00:00,mariapaolalugogomez,mariapaolalugo2,"@DCoronell @estoescambio @CeciliaLopezM @petrogustavo @Javeriana las reformas realmente fundamentales, la mayoría votamos x un proyecto cambio bajo unas supuestas banderas de ""izq"" preservará la democracia derruida en ""estallido social"" permitiera la expresión y encuentro de las diferentes fuerzas pero solo hemos visto hasta ahora desatinos",0,0
98,2023-02-26 14:36:00+00:00,Pesquisa Javeriana,PesquisaPUJ,"La pobreza está atravesada por muchas más variables que la económica; de ahí que los programas y políticas del Estado deban ajustarse a esa realidad. https://t.co/JiUO6F1sM7
@MinHacienda @JoseA_Ocampo @petrogustavo https://t.co/9c2wO16bbA",5,1
99,2023-02-26 14:33:39+00:00,mariapaolalugogomez,mariapaolalugo2,"@DCoronell @estoescambio Me quedo con una frase @CeciliaLopezM “Una cosa es ser petrista y otra ser realista”, pensamos @petrogustavo iba a ser realista, cómo bien analizo nuevo rector @javeriana, @petrogustavo no tiene ""arte del Estado"" y no se ha focalizado reformas realmente 
https://t.co/X1AoSJLH9O",8,3
100,2023-02-26 14:30:42+00:00,M.,incautada,"La parcera estudió seis semestres de filosofía en la javeriana y se cagó todo, pero viene a twitter a exigirle a una pelada trans, desplazada, trabajadora sexual y empobrecida que le resuelva una duda ontológica cualquiera que porque se siente oprimida por ella: qué es ser mujer?",51,4
101,2023-02-26 14:10:40+00:00,Semillero Bibliometría y Evaluación Científica PUJ,SemilleroBEC,"Diplomado Bibliometría y Evaluación de la Ciencia. Pontificia Universidad Javeriana, Bogotá. 
#bibliometria #diplomado

Modalidad virtual
Inicio: Junio 27 de 2023

https://t.co/zuSlavhZpQ",1,1
102,2023-02-26 13:38:48+00:00,Ricardo Coutin,ricardocoutin,"Retroalimentación sobre el diplomado en Gerencia de Proyectos Bajo el Marco del PMI 👨🏼‍🎓  desarrollado en formato digital sincrónico y asincrónico con la Pontificia Universidad Javeriana Cali 

Estos comentarios son los que me motivan a seguir esta pasión docente! 🚀 https://t.co/Kb0vhVUnh4",0,0
103,2023-02-26 13:25:56+00:00,Comunidad Ojalá,ComunidadOjala,"El producto de este estudio fue publicado recientemente en la revista científica Frontiers in Ecology &amp; Evolution, una de las de mayor impacto en el campo de la ecología. https://t.co/vSBc0EGmNi",0,0
